reaction_id,bgc_id,step_type,domains_norm,at_substrate,closure,pt_mode,origin,reactant_smiles_std,product_smiles_std,file_stem,variant,selected_mapper,aam,module_from,module_to
BGC1000000_m3_to_m4,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000000_m3_to_m4__r1,1,graphormer,[CH2:10]([C:11](=[O:12])[S:13])[C:8]([CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:9]>>[CH2:10]([C:11](=[O:12])[S:13])[C:8]([CH2:7][C:5](=[O:6])[CH2:4][C:2]([CH2:1][C:16](=[O:14])[CH3:15])=[O:3])=[O:9],3.0,4.0
BGC1000000_m3_to_m4,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000000_m3_to_m4__r2,2,graphormer,[CH2:10]([C:11](=[O:12])[S:13])[C:8]([CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:9]>>[CH2:10]([C:11](=[O:12])[S:13])[C:8]([CH2:7][C:5](=[O:6])[CH2:4][C:2]([CH2:1][C:16](=[O:14])[CH3:15])=[O:3])=[O:9],3.0,4.0
BGC1000000_m3_to_m4,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000000_m3_to_m4__r3,3,graphormer,[CH2:10]([C:11](=[O:12])[S:13])[C:8]([CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:9]>>[CH2:10]([C:11](=[O:12])[S:13])[C:8]([CH2:7][C:5](=[O:6])[CH2:4][C:2]([CH2:1][C:16](=[O:14])[CH3:15])=[O:3])=[O:9],3.0,4.0
BGC1000000_m4_to_m5,BGC1000000,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O,BGC1000000_m4_to_m5__r0,0,graphormer,[CH2:13]([C:14](=[O:15])[S:16])[C:11]([CH2:10][C:8](=[O:9])[CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:12]>>[C:13]=12[C:5](=[CH:7][C:8](=[CH:10][C:11]=1[OH:12])[OH:9])[CH:4]=[C:2]([CH3:1])[O:15][C:14]2=[O:6],4.0,5.0
BGC1000000_m4_to_m5,BGC1000000,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O,BGC1000000_m4_to_m5__r1,1,graphormer,[CH2:13]([C:14](=[O:15])[S:16])[C:11]([CH2:10][C:8](=[O:9])[CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:12]>>[C:13]=12[C:5](=[CH:7][C:8](=[CH:10][C:11]=1[OH:12])[OH:9])[CH:4]=[C:2]([CH3:1])[O:15][C:14]2=[O:6],4.0,5.0
BGC1000000_m4_to_m5,BGC1000000,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O,BGC1000000_m4_to_m5__r2,2,graphormer,[CH2:13]([C:14](=[O:15])[S:16])[C:11]([CH2:10][C:8](=[O:9])[CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:12]>>[C:13]=12[C:5](=[CH:7][C:8](=[CH:10][C:11]=1[OH:12])[OH:9])[CH:4]=[C:2]([CH3:1])[O:15][C:14]2=[O:6],4.0,5.0
BGC1000000_m4_to_m5,BGC1000000,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O,BGC1000000_m4_to_m5__r3,3,graphormer,[CH2:13]([C:14](=[O:15])[S:16])[C:11]([CH2:10][C:8](=[O:9])[CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:12]>>[C:13]=12[C:5](=[CH:7][C:8](=[CH:10][C:11]=1[OH:12])[OH:9])[CH:4]=[C:2]([CH3:1])[O:15][C:14]2=[O:6],4.0,5.0
BGC1000001_m0_to_m1,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(O)CC(=O)[S],BGC1000001_m0_to_m1__r0,0,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH:6]([OH:7])([CH2:1][C:2]([S:4])=[O:3])[CH3:5],0.0,1.0
BGC1000001_m0_to_m1,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(O)CC(=O)[S],BGC1000001_m0_to_m1__r1,1,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH:6]([OH:7])([CH2:1][C:2]([S:4])=[O:3])[CH3:5],0.0,1.0
BGC1000001_m0_to_m1,BGC1000001,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(O)CC(=O)[S],BGC1000001_m0_to_m1__r2,2,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH:6]([OH:7])([CH2:1][C:2]([S:4])=[O:3])[CH3:5],0.0,1.0
